"﻿""Authors""",Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
Lichter D.G.; Kim K.Y.; Commichau C.; Feldman B.J.; Hershey L.A.,"Lichter, David G. (7005279552); Kim, Kye Y. (36639862800); Commichau, Chris (6603068630); Feldman, Brian J. (56855089800); Hershey, Linda A. (7004311531)",7005279552; 36639862800; 6603068630; 56855089800; 7004311531,Tremor at Onset: Predictor of Cognitive and Motor Outcome in Parkinson's Disease?,1991,Archives of Neurology,48,10,,1049,1051,32,10.1001/archneur.1991.00530220069021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026009992&doi=10.1001%2Farchneur.1991.00530220069021&partnerID=40&md5=dcf5e28f4d7c039bb4766d5892698da7,"Department of Veterans Affairs Medical Center and State University of New York at Buffalo, Departments of Neurology, United States; Department of Veterans Affairs Medical Center and State University of New York at Buffalo, Department of Psychiatry, United States; Neurology Department, United States; Departments of Neurology, Buffalo, NY 14215, 3495 Bailey Ave, United States","Lichter D.G., Department of Veterans Affairs Medical Center and State University of New York at Buffalo, Departments of Neurology, United States; Kim K.Y., Department of Veterans Affairs Medical Center and State University of New York at Buffalo, Department of Psychiatry, United States; Commichau C., Neurology Department, United States; Feldman B.J., Neurology Department, United States; Hershey L.A., Departments of Neurology, Buffalo, NY 14215, 3495 Bailey Ave, United States","We examined 46 male patients with idiopathic Parkinson's disease to see whether tremor at onset was as useful a predictor of benign clinical outcome as tremor predominance after several years. When we compared patients with tremor at onset (n = 27) with those whose disease began with bradykinesia/rigidity (n = 9), or gait disorder (n = 10), we found no significant differences after a mean of 7 years in motor, cognitive, or affective status. Sixteen of the tremor-onset patients continued to have tremor predominance with minimal gait disorder after about 7 years. These tremor-predominant patients had significantly better motor outcome and somewhat better cognitive outcome than either tremor-onset patients who subsequently developed gait disorder (n =11) or patients without tremor at onset (n = 19). Tremor predominance after several years appears to be a better predictor of a benign clinical course of Parkinson's disease than tremor at onset. © 1991, American Medical Association. All rights reserved.",,"Cognition; Depression; Gait; Human; Male; Middle Age; Motor Activity; Movement; Muscle Rigidity; Parkinson Disease; Support, Non-U.S. Gov't; Support, U.S. Gov't, P.H.S.; Tremor; amantadine; amitriptyline; bromocriptine; carbidopa; diphenhydramine; levodopa; primidone; trihexyphenidyl; adult; article; depression; human; major clinical study; male; parkinson disease; priority journal; tremor",,,,00039942,,,1929897,English,Arch. Neurol.,Article,Final,,Scopus,2-s2.0-0026009992
Schneider J.S.; Diamond S.G.; Markham C.H.,"Schneider, Jay S. (7404422155); Diamond, Shirley G. (7202852147); Markham, Charles H. (7004489401)",7404422155; 7202852147; 7004489401,Deficits in orofacial sensorimotor function in Parkinson's disease,1986,Annals of Neurology,19,3,,275,282,159,10.1002/ana.410190309,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022602454&doi=10.1002%2Fana.410190309&partnerID=40&md5=eedc8d2a1102fe8b6b14b8310b3814cf,"Department of Neurology, Reed Neurological Research Center, Ucla School of Medicine, Los Angeles, California, 90024, United States","Schneider J.S., Department of Neurology, Reed Neurological Research Center, Ucla School of Medicine, Los Angeles, California, 90024, United States; Diamond S.G., Department of Neurology, Reed Neurological Research Center, Ucla School of Medicine, Los Angeles, California, 90024, United States; Markham C.H., Department of Neurology, Reed Neurological Research Center, Ucla School of Medicine, Los Angeles, California, 90024, United States","Orofacial sensorimotor function was assessed in patients with Parkinson's disease and in age‐matched controls. Tests were designed to assess sensory function, motor abilities, and the integration of sensory information for the performance of specific movements. Patients with Parkinson's disease and normal subjects both made more errors with increasing age; however, overall, patients with Parkinson's disease made significantly more errors in our tests than did normal subjects. Interestingly, patients with Parkinson's disease showed greater deficits in tests of sensory function and sensorimotor integration than in tests of motor function. These results suggest that one aspect of Parkinson's disease consists of complex deficits in the utilization of specific sensory inputs to organize and guide movements. The results are further discussed in relation to a proposed sensory gating or filtering schema of basal ganglia motor functioning. Copyright © 1986 American Neurological Association",,Aged; Differential Threshold; Discrimination (Psychology); Face; Feedback; Female; Head; Human; Jaw; Male; Middle Age; Motor Activity; Mouth; Parkinson Disease; Physical Stimulation; Proprioception; Psychomotor Performance; Sensation; Tongue; Touch; age; central nervous system; clinical article; diagnosis; human; parkinson disease; priority journal; sensory function,,,,03645134,,,3963772,English,Ann. Neurol.,Article,Final,,Scopus,2-s2.0-0022602454
Tyler C.,"Tyler, C. (57200890821)",57200890821,Earth-moving events,1990,Geographical Magazine,62,3,,28,31,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025149069&partnerID=40&md5=d854fce816c42a5713a97e0276db9fdf,,,"More than a third of the world's largest and fastest growing cities are located in regions of high seismic risk. Earthquake effects can be lessened in one of two ways. The first is to ensure that both buildings and people are prepared for future tremors. This may be the answer in the developed world, but in Third World countries the money is not available. The second method is through tremor prediction, a science that currently is unable to give accurate longterm warnings. -after Author",,early warning system; earthquake damage; earthquake prediction; natural hazard; seismic activity,,,,,,,,English,,Article,Final,,Scopus,2-s2.0-0025149069
ABBOUD S.; BELHASSEN B.; PELLEG A.; LANIADO S.; SADEH D.,"ABBOUD, SHIMON (56228622500); BELHASSEN, BERNARD (7005336558); PELLEG, AMIR (7005714379); LANIADO, SHLOMO (7005780497); SADEH, DROR (6603847501)",56228622500; 7005336558; 7005714379; 7005780497; 6603847501,Non‐invasive Recording of His Bundle Activity in Patients with Wolff‐Parkinson‐White Syndrome,1984,Pacing and Clinical Electrophysiology,7,1,,40,45,5,10.1111/j.1540-8159.1984.tb04858.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021299346&doi=10.1111%2Fj.1540-8159.1984.tb04858.x&partnerID=40&md5=66a61e91ff90898555a82b69bcacc929,"Department of Physics and Astronomy, Tel Aviv University, Tel Aviv, Israel; Department of Cardiology, Ichilov Hospital, Tel Aviv Medical Center, Israel","ABBOUD S., Department of Physics and Astronomy, Tel Aviv University, Tel Aviv, Israel; BELHASSEN B., Department of Cardiology, Ichilov Hospital, Tel Aviv Medical Center, Israel; PELLEG A., Department of Cardiology, Ichilov Hospital, Tel Aviv Medical Center, Israel; LANIADO S., Department of Cardiology, Ichilov Hospital, Tel Aviv Medical Center, Israel; SADEH D., Department of Physics and Astronomy, Tel Aviv University, Tel Aviv, Israel","Ten patients with Wolff‐Parkinson‐White syndrome underwent external His bundle recording using an advanced signal‐averaging technique. Surface ECG waveforms were recorded and digitized at 1.28 kHz (10 bit resolution) and then averaged with GDC‐6600 computer. A cross‐correlation function, operating in the frequency domain (using the Fast Fourier Transform algorithm) was employed to extract fiducial synchronizing marks for the waveform alignment. Using this technique, reliable His bundle activity could be recorded in nine of ten patients. There was a good correlation between the HQ and HV intervals obtained during external and internal His bundle recordings, respectively, in seven patients who underwent both recordings. Administration of ajmaline enabled to obtain the His bundle activity using a digital filter with low frequency cut‐off of 30 Hz as compared to the cut‐off of 150 Hz which was necessary during control to reduce the electrical activity of the delta wave. We conclude that using a computerized cross‐correlation signal‐averaging technique enables the external His bundle recording in patients with WPW syndrome. Copyright © 1984, Wiley Blackwell. All rights reserved",His bundle recording; signal averaging; WPW syndrome,"Adolescent; Adult; Aged; Bundle of His; Case Report; Comparative Study; Computers; Electrocardiography; Female; Fourier Analysis; Heart Conduction System; Human; Male; Middle Age; Monitoring, Physiologic; Support, Non-U.S. Gov't; Wolff-Parkinson-White Syndrome; adult; clinical article; diagnosis; electrocardiography; etiology; heart; his bundle potential; human; methodology; wolff parkinson white syndrome; adolescent; aged; article; case report; comparative study; computer; female; Fourier analysis; heart muscle conduction system; His bundle; male; monitoring; pathophysiology; Wolff Parkinson White syndrome",,,,01478389,,,6199769,English,PACE Pacing Clin. Electrophysiol.,Article,Final,,Scopus,2-s2.0-0021299346
Hömberg V.; Reiners K.; Hefter H.; Freund H.-J.,"Hömberg, V (7006701150); Reiners, K (55586765900); Hefter, H (56230448700); Freund, H.-J (55433323000)",7006701150; 55586765900; 56230448700; 55433323000,The muscle activity spectrum: spectral analysis of muscle force as an estimator of overall motor unit activity,1986,Electroencephalography and Clinical Neurophysiology,63,3,,209,222,34,10.1016/0013-4694(86)90087-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022518395&doi=10.1016%2F0013-4694%2886%2990087-8&partnerID=40&md5=ee5c3fa4fd3fd2eda4adeeb1062fb8bf,"Neurologische Universitätsklinik, D-4000 Düsseldorf, Moorenstrasse 5, Germany","Hömberg V., Neurologische Universitätsklinik, D-4000 Düsseldorf, Moorenstrasse 5, Germany; Reiners K., Neurologische Universitätsklinik, D-4000 Düsseldorf, Moorenstrasse 5, Germany; Hefter H., Neurologische Universitätsklinik, D-4000 Düsseldorf, Moorenstrasse 5, Germany; Freund H.-J., Neurologische Universitätsklinik, D-4000 Düsseldorf, Moorenstrasse 5, Germany","Starting from the observation that the part above 6 Hz of the power spectrum of force tremor during isometric contractions can be related to the unfused twitches of motor units firing asynchronously, an attempt was made to study the usefulness of force tremor spectral analysis as a global descriptor of motoneurone pool activity. To compensate for the mechanical low-pass filter characteristic of skeletal muscle which leads to increased damping of mechanical ripples at higher frequencies, a numerical compensation rule was derived from data obtained by electrical microstimulation of small ensembles of motor units (MUs). Hidden line plots of consecutive partially overlapping spectra allowed visualization of changes in spectral composition during ongoing muscle activity. The resulting muscle activity spectra (MAS) showed broad peaks according to the range of onset firing rates in normal subjects. These tended to shift to higher frequencies with increasing force. Under conditions with increased synchronization of the MUs these broad peaks were replaced by sharp peaks corresponding to the burst repetition rate. Patients with different motor dysfunctions were selected to illustrate how alterations of MU activity are reflected in the MAS. Decreased or increased firing rates were observed as well as abnormal states of synchronization. It is concluded that the MAS provides useful information about some aspects of the discharge characteristics of ensembles of MUs and therefore represents a method to monitor some qualitative 'image' of the MU activities within a muscle. © 1986.",force tremor; motoneurone pool; motor unit activity; voluntary motor activity,"Adolescent; Adult; Aged; Human; Isometric Contraction; Middle Age; Motor Neurons; Movement Disorders; Muscles; Spectrum Analysis; Support, Non-U.S. Gov't; central nervous system; diagnosis; electromyography; human; human experiment; motor unit; motor unit potential; muscle; musculoskeletal system; nervous system; neuropathy; parkinson disease; peripheral nervous system; priority journal; tremor",,,,00134694,,ECNEA,2419077,English,Electroencephalogr. Clin. Neurophysiol.,Article,Final,,Scopus,2-s2.0-0022518395
Javidan M.; Elek J.; Prochazka A.,"Javidan, Manouchehr (16420701000); Elek, Josef (7004263830); Prochazka, Arthur (7005747801)",16420701000; 7004263830; 7005747801,Attenuation of pathological tremors by functional electrical stimulation II: Clinical evaluation,1992,Annals of Biomedical Engineering,20,2,,225,236,75,10.1007/BF02368522,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026577290&doi=10.1007%2FBF02368522&partnerID=40&md5=b08c6ed3e8fbbbeeb8ff833bc62aadbe,"Divisions of Neurology and Neuroscience, Room 507, Heritage Building, University of Alberta, Edmonton, T6G 2S2, Alberta, Canada; Neurologische Klinik der Universität Bonn, Germany","Javidan M., Divisions of Neurology and Neuroscience, Room 507, Heritage Building, University of Alberta, Edmonton, T6G 2S2, Alberta, Canada; Elek J., Neurologische Klinik der Universität Bonn, Germany; Prochazka A., Divisions of Neurology and Neuroscience, Room 507, Heritage Building, University of Alberta, Edmonton, T6G 2S2, Alberta, Canada","In this study we evaluated a technique for tremor suppression with functional electrical stimulation (FES), the technical details of which were described in the previous paper. Three groups of patients were investigated: those with essential tremor, parkinsonian tremor, and cerebellar tremor associated with multiple sclerosis. In each group, tremor was attenuated by significant amounts (essential tremor: 73%; parkinsonian tremor: 62%; cerebellar tremor: 38%). These attenuations were in good accord with predictions based on the dynamic analyses and filter designs derived in the previous paper. With filters ""tuned"" to the lower mean tremor frequency encountered in the cerebellar patients, more attenuation was possible in this group as well. We identified some practical limitations in the clinical application of the technique in its present form. The most important was that in daily use, only one antagonist pair of muscles can realistically be controlled. At first sight, this restricts the usefulness of the system to patients with single-joint tremors. However, the concomitant use of mechanical orthoses may broaden the scope of application. © 1992 Pergamon Press Ltd.",Cerebellum; Tremor suppression,"Adult; Cerebellar Diseases; Data Interpretation, Statistical; Electric Stimulation Therapy; Female; Human; Male; Middle Age; Movement; Multiple Sclerosis; Parkinson Disease; Pilot Projects; Support, Non-U.S. Gov't; Tremor; Biological Materials - Muscle; Biomechanics - Joints; Biomedical Engineering - Patient Rehabilitation; Human Rehabilitation Engineering - Neuromuscular Rehabilitation; adult; article; clinical article; electrostimulation; female; human; human experiment; male; tremor; Cerebellar Tremor; Essential Tremor; Functional Electrical Stimulation; Mechanical Orthoses; Parkinsonian Tremor; Tremor Suppression; Human Rehabilitation Engineering",,,Kluwer Academic Publishers,15739686,,ABMEC,1575378,English,Ann Biomed Eng,Article,Final,,Scopus,2-s2.0-0026577290
Gough D.I.; Gough W.I.,"Gough, D.I. (7101774064); Gough, W.I. (7005174754)",7101774064; 7005174754,Load‐induced Earthquakes at Lake Kariba–II,1970,Geophysical Journal of the Royal Astronomical Society,21,1,,79,101,122,10.1111/j.1365-246X.1970.tb01768.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984485368&doi=10.1111%2Fj.1365-246X.1970.tb01768.x&partnerID=40&md5=e2a36fb1a5fd34d06ed0cc2397e4a217,"Geophysics Division, Department of Physics, University of Alberta, Edmonton, Canada","Gough D.I., Geophysics Division, Department of Physics, University of Alberta, Edmonton, Canada; Gough W.I., Geophysics Division, Department of Physics, University of Alberta, Edmonton, Canada","The filling of the world's largest artificial lake at Kariba has been accompanied and followed by considerable earthquake activity. A local network of three seismographs allowed location of epicentres for 159 of 2000 tremors recorded during three years while the lake filled. The epicentres lie in the down‐faulted rift valley of the middle Zambezi and it is clear that the lake has re‐activated some of the existing faults, formed in a complex tectonic history since late Precambrian times. Records from permanent observatories have been used in estimates of tremor frequency and rate of energy release through 9.4 years. Calculations of stress distributions at nine lake levels have been used in estimates of the volume Vτ within which the maximum shear stress exceeds 1 bar, and Vτ as function of time is compared with the seismic activity. The latter was highly correlated with rise of Vτ as the lake filled and for three years after. Of total energy 2.32 × 1020 erg some 88.4 per cent was radiated from seven events of 5.0 ≤m≥ 5.8. The main activity built up from June to September 1963, culminating in the last week of September, five weeks after the lake reached its maximum level; during that week five of the seven large shocks and many hundreds of aftershocks occurred. Activity has continued to the present, correlated with water level and more strikingly with Vτ until mid‐1966 but not thereafter, and showing a gradual though far from continuous decline. Magnitude‐frequency dependence suggests that all the tremors have been ‘aftershocks’ in the sense that they have occurred in prefractured rock of low strength. Energy transformations are considered making use of calculated elastic depressions. It is shown that a vast amount of energy (5.5 × 1024 erg) is stored as elastic strain energy in the lithosphere as a result of release of gravitational energy during depression of the rock in a limited volume, and that the radiated seismic energy can be provided at plausibly low efficiency. Three modes of failure are considered to have been present. In one brief burst of about 200 tremors near the west end of the lake it is believed that the lake triggered failure of a pre‐stressed, previously active fault through increment to the stress, to fluid pressure or to both. In another burst of about 50 tremors 15 to 65 km downstream from the dam only triggering of pre‐stressed faults by incremental stress is believed probable. In the main activity near and under the deep Sanyati Basin, which included all the large shocks, it is argued, mainly from the correlation in time between activity and growth of Vτ, that the shear stress of 1 or 2 bars due to the load has triggered failure of faults initially stressed at several tens of bars. Increase of fluid pressure appears to have been at most of minor importance. The decline of activity may have resulted partly from disappearance of the stress field and partly from strainhardening of the lithosphere as faults locked. Other cases of load‐induced seismic activity are discussed briefly; it appears that the seismic activation at Kremasta in Greece resembles that at Kariba rather closely. Copyright © 1970, Wiley Blackwell. All rights reserved",,,,,,00168009,,,,English,Geophys. J. Int.,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84984485368
Yair E.; Gath I.,"Yair, Eyal (6602692277); Gath, Isak (56259829900)",6602692277; 56259829900,High Resolution Pole-Zero Analysis of Parkinsonian Speech,1991,IEEE Transactions on Biomedical Engineering,38,2,,161,167,6,10.1109/10.76382,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026103589&doi=10.1109%2F10.76382&partnerID=40&md5=83e146d51403c64320619278f7eb19d0,"IBM Israel Science and Technology Center, Department of Electrical Engineering, Technion IIT, Haifa, 32000, Israel; Department of Biomedical Engineering, Technion IIT, Haifa 32000, Israel","Yair E., IBM Israel Science and Technology Center, Department of Electrical Engineering, Technion IIT, Haifa, 32000, Israel; Gath I., Department of Biomedical Engineering, Technion IIT, Haifa 32000, Israel","High resolution analysis of voiced speech signals in Parkinsonian patients using a pitch synchronous pole-zero model is introduced. A modified estimation error is defined leading to an accurate and consistent determination of the excitation instants of the model. An infinite resolution in determining these instants, despite the finite sampling interval, is achieved by mapping the discrete (digitized) problem into a continuous one. The proposed analysis was found to be useful in analyzing Parkinsonian speech where the goal was to detect and quantify the Parkinsonian tremor and rigidity from sustained voiced sounds. © 1991 IEEE",,"Electromyography; Human; Parkinson Disease; Reference Values; Speech; Speech Production Measurement; Support, Non-U.S. Gov't; Mathematical Techniques - Poles and Zeros; Mathematical Transformations - Z Transforms; Optimization; Signal Filtering and Prediction; article; clinical article; human; parkinson disease; speech analysis; Excitation Instants Location; Parkinsonian Speech Analysis; Short-Time Pitch Synchronous ARMA Analysis; Speech",,,,00189294,,,2066125,English,IEEE Trans. Biomed. Eng.,Article,Final,,Scopus,2-s2.0-0026103589
Christopher Newland M.,"Christopher Newland, M. (7003637733)",7003637733,Quantification of motor function in toxicology,1988,Toxicology Letters,43,1-3,,295,319,22,10.1016/0378-4274(88)90035-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023755484&doi=10.1016%2F0378-4274%2888%2990035-5&partnerID=40&md5=a59444e954a6bad30ac7ab3377c73050,"Department of Psychology, Auburn University, Auburn, AL, United States","Christopher Newland M., Department of Psychology, Auburn University, Auburn, AL, United States","Disturbances of movement and other motor functions can result from exposure to toxicants and drugs. Sometimes, as with acute exposure to ethanol or solvents, these effects disappear when exposure ends. Other times, as with manganese, haloperidol, or chronic ethanol, motor disturbances are irreversible and may even lie undetected until after exposure has ended. Motor disturbances can take on many guises, including tremor, difficulty in positioning, fatigue, or rigidity. Techniques for measuring these different endpoints in primates will be addressed. One preparation that enables the simultaneous monitoring of positioning, tremor, and operant behavior in nonhuman primates is described, and tactics for obtaining spectral estimates of tremor from a positioning task are outlined. The spectra obtained from this preparation are reliable and valid: they are stable over a period of a year, they correspond to spectra obtained from accelerometers, and are altered by acute administration of ethanol or oxotremorine. These two drugs had opposite effects on tremor but affected bar positioning in a similar manner. © 1988.",Ethanol; Humans; Motor function; Neurotoxicology; Oxotremorine; Primates; Spectral analysis; Tremor,"Animal; Haplorhini; Human; Motor Activity; Support, U.S. Gov't, P.H.S.; Toxicology; Tremor; alcohol; haloperidol; manganese; oxotremorine; animal experiment; human; instrumental conditioning; monkey; motor performance; neurotoxicity; nonhuman; priority journal; spectroscopy; tremor",,,,03784274,,TOLED,3140429,English,Toxicol. Lett.,Article,Final,,Scopus,2-s2.0-0023755484
Caraceni T.; Scigliano G.; Musicco M.,"Caraceni, Tommaso (7004356476); Scigliano, Giulio (6603369452); Musicco, Massimo (7005797271)",7004356476; 6603369452; 7005797271,The occurrence of motor fluctuations in parkinsonian patients treated long term with levodopa: Role of early treatment and disease progression,1991,Neurology,41,3,,380,384,90,10.1212/wnl.41.3.380,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025765530&doi=10.1212%2Fwnl.41.3.380&partnerID=40&md5=b6af9d7b6f5cd3b3a7d891f7a9302c5c,"Neurological Institute “C. Besta”, National Research Council-Institute of Advanced Biomedical Technologies, Milan, Italy; Department of Epidemiology, National Research Council-Institute of Advanced Biomedical Technologies, Milan, Italy","Caraceni T., Neurological Institute “C. Besta”, National Research Council-Institute of Advanced Biomedical Technologies, Milan, Italy; Scigliano G., Neurological Institute “C. Besta”, National Research Council-Institute of Advanced Biomedical Technologies, Milan, Italy; Musicco M., Department of Epidemiology, National Research Council-Institute of Advanced Biomedical Technologies, Milan, Italy","The aim of this study is to evaluate what factors influence the risk of occurrence of motor fluctuations in patients with Parkinson’s disease (PD) with particular reference to the role of early or delayed introduction of levodopa therapy during the course of the disease. One hundred twenty-five consecutive newly diagnosed patients with PD started levodopa treatment at the time of diagnosis and were followed for 2 to 10 years. During follow-up, 60 patients had wearing-off or early morning akinesia. We estimated the cumulative time-dependent risk of motor fluctuation occurrence through a multivariable analysis. The risk was lower for patients with tremor-predominant PD, for those with shorter disease duration prior to levodopa, and for those who were relatively older at levodopa initiation. Our results suggest that, as far as motor fluctuations are concerned, disease prognosis is not influenced by early levodopa treatment. These observations support the introduction of levodopa as soon as there is a subjective need for the patients to maintain their level of social and work performance. © 1991 American Academy of Neurology.",,Age Factors; Female; Forecasting; Human; Levodopa; Male; Movement; Multivariate Analysis; Parkinson Disease; Risk Factors; levodopa; adult; aged; akinesia; article; female; human; major clinical study; male; motor system; oral drug administration; parkinson disease; priority journal,,,,00283878,,,2006005,English,Neurology,Article,Final,,Scopus,2-s2.0-0025765530
